,日期,农历,宜,忌,最低温,最高温,天气,降水概率,节日
0,2018-11-25 星期日,十月十八,安床-伐木-上梁-纳畜-开市,修坟-嫁娶-祭祀-斋醮-祈福,15,24, ,10%,
1,2018-11-26 星期一,十月十九,移徙-入宅-安香-开仓-针灸,斋醮-赴任-修造-开市-纳采,15,24, ,13%,
2,2018-11-27 星期二,十月二十,开市-立券-纳财-分居-斋醮,嫁娶-出行-移徙-藏宝-栽种,15,24, ,20%,
3,2018-11-28 星期三,十月廿一,分居-入宅-安门-设醮-鸣鼓,祈福-嫁娶-移徙-纳财-开市,15,23, ,20%,
4,2018-11-29 星期四,十月廿二,栽种-安床-归宁-出行-开市,嫁娶-作灶-纳采-求嗣-解除,14,23, ,17%,
5,2018-11-30 星期五,十月廿三,上梁-竖柱-经络-栽种-掘渠,纳采-嫁娶-开市-安葬-破土,14,23, ,17%,
6,2018-12-01 星期六,十月廿四,词讼-安床-修造-动土-入殓,纳采-嫁娶-招赘-纳婿-除服,14,23, ,7%,
7,2018-12-02 星期日,十月廿五,移徙-入宅-安香-修造-动土,祈福-嫁娶-赴任-纳采-招赘,14,23, ,17%,
8,2018-12-03 星期一,十月廿六,斋醮-祈福-纳采-入宅-安门,嫁娶-纳财-开市-作灶-招赘,14,22, ,27%,
9,2018-12-04 星期二,十月廿七,安床-造床-开仓-纳畜-移徙,祈福-嫁娶-纳财-开市-破土,14,22, ,10%,
10,2018-12-05 星期三,十月廿八,斋醮-祈福-动土-求医-赴任,破土-启鑽-修坟-安葬-祭祀,13,22, ,20%,
11,2018-12-06 星期四,十月廿九,修坟-安葬-入宅-安门-安床,纳采-嫁娶-祭祀-斋醮-祈福,13,22, ,13%,
12,2018-12-07 星期五,十一月初一,修坟-安葬-安床-伐木-上梁,嫁娶-动土-赴任-入宅-纳采,13,22, ,23%,
13,2018-12-08 星期六,十一月初二,盖屋-开市-出行-求财-修造,纳采-嫁娶-求嗣-祭祀-祈福,13,22, ,20%,
14,2018-12-09 星期日,十一月初三,针灸-解除-求医-入宅-分居,祭祀-祈福-纳采-嫁娶-求嗣,13,21, ,13%,
15,2018-12-10 星期一,十一月初四,栽种-开池-置产-修造-动土,赴任-盖屋-入宅-开市-嫁娶,12,21, ,10%,
16,2018-12-11 星期二,十一月初五,移徙-入宅-安香-安床-斋醮,嫁娶-纳财-开市-作灶-藏宝,12,21, ,13%,
17,2018-12-12 星期三,十一月初六,分居-归宁-出行-祭祀-祈福,嫁娶-启鑽-修坟-栽种-斋醮,12,21, ,17%,
18,2018-12-13 星期四,十一月初七,修造-动土-纳畜-栽种-掘渠,破土-启鑽-修坟-安葬-纳采,12,21, ,17%,
19,2018-12-14 星期五,十一月初八,词讼-上梁-竖柱-经络-安床,纳采-嫁娶-招赘-纳婿-祈福,12,21, ,10%,
20,2018-12-15 星期六,十一月初九,移徙-上梁-安葬-开市-立券,祈福-嫁娶-安床-作灶-纳采,12,21, ,20%,
21,2018-12-16 星期日,十一月初十,上梁-竖柱-安门-盖屋-作灶,嫁娶-纳财-破土-启鑽-修坟,12,21, ,20%,
22,2018-12-17 星期一,十一月十一,开市-立券-经络-纳畜-破土,祈福-嫁娶-修造-动土-出行,11,21, ,20%,
23,2018-12-18 星期二,十一月十二,开市-立券-纳财-分居-安床,嫁娶-作灶-启鑽-修坟-安葬,11,21, ,17%,
24,2018-12-19 星期三,十一月十三,修坟-安葬-安床-伐木-上梁,移徙-入宅-纳采-嫁娶-斋醮,11,21, ,13%,
25,2018-12-20 星期四,十一月十四,移徙-入宅-安香-开市-出行,纳采-嫁娶-求嗣-斋醮-祭祀,11,20,阴转多云 西南风<3级转微风,10%,
26,2018-12-21 星期五,十一月十五,斋醮-祈福-盖屋-上梁-针灸,嫁娶-纳财-安床-作灶-赴任,11,20,多云 微风,7%,
27,2018-12-22 星期六,十一月十六,栽种-修造-动土-置产-破土,嫁娶-出行-移徙-赴任-盖屋,11,20,多云转小雨 微风,3%,
28,2018-12-23 星期日,十一月十七,入宅-安门-安床-斋醮-祈福,纳财-藏宝-招赘-纳婿-修造,11,20,小雨转多云 北风3-4级,10%,
29,2018-12-24 星期一,十一月十八,分居-嫁娶-归宁-出行-祭祀,纳采-招赘-纳婿-栽种-斋醮,11,20,多云转小雨 微风,13%,
30,2018-12-25 星期二,十一月十九,破土-筑堤-放水-修造-动土,纳采-嫁娶-招赘-纳婿-祭祀,11,20,小雨 微风,20%,圣诞节
31,2018-12-26 星期三,十一月二十,词讼-上梁-竖柱-经络-安床,祈福-嫁娶-纳财-开市-作灶,11,20,小雨 北风3-4级转北风4-5级,13%,
32,2018-12-27 星期四,十一月廿一,开市-立券-纳财-出货-入殓,祈福-嫁娶-修造-动土-赴任,11,20,小雨转雨 北风3-4级转微风,20%,
33,2018-12-28 星期五,十一月廿二,上梁-竖柱-安门-盖屋-作灶,破土-启鑽-修坟-解除-求医,11,20,雨 微风,17%,
34,2018-12-29 星期六,十一月廿三,移徙-入宅-安香-开市-立券,修坟-斋醮-赴任-祭祀-祈福,11,20,雨 微风,17%,
35,2018-12-30 星期日,十一月廿四,开市-立券-纳财-分居-安床,嫁娶-移徙-作灶-启鑽-修坟,11,20,多云转阴 微风,23%,
36,2018-12-31 星期一,十一月廿五,修坟-安葬-安床-伐木-上梁,嫁娶-纳财-入宅-作灶-纳采,11,20,阴 微风,23%,
37,2019-01-01 星期二,十一月廿六,开市-出行-求财-修造-冠笄,祈福-嫁娶-移徙-纳采-求嗣,11,20,多云 微风,10%,元旦
38,2019-01-02 星期三,十一月廿七,针灸-解除-求医-入宅-分居,纳采-嫁娶-开市-赴任-恩赦,11,20,阴转雨 微风,17%,
39,2019-01-03 星期四,十一月廿八,栽种-修造-动土-置产-破土,赴任-盖屋-入宅-开市-嫁娶,11,20,雨 微风,20%,
40,2019-01-04 星期五,十一月廿九,安床-斋醮-祈福-破土-行丧,纳财-藏宝-招赘-纳婿-修造,11,20, ,23%,
41,2019-01-05 星期六,十一月三十,分居-归宁-出行-祭祀-祈福,嫁娶-纳财-开市-安床-作灶,11,20, ,23%,
